The centroids are:
[35.25 59.95 ]
[54.9 13.95 ]
[64.9 41.95 ]
[85.8 90.7 ]
[64.55 45.45 ]
[4.05 2.1 ]
[77.6 73.9 ]
[25.1 53.95 ]
[89.05 9.5 ]
[64.9 62.95 ]
[9.75 21.5 ]
[26.4 74.0 ]
[56.25 52.95 ]
[68.9 79.8 ]
[57.1 57.7 ]
[13.9 65.1 ]
[95.9 59.95 ]
[55.4 61.95 ]
[97.15 64.1 ]
[36.35 22.95 ]
[45.75 48.9 ]
[33.8 26.05 ]
[34.4 28.4 ]
[86.05 45.7 ]
[37.0 31.45 ]
[79.5 23.35 ]
[56.65 77.15 ]
[96.25 75.85 ]
[35.45 35.1 ]
[75.9 33.95 ]
[65.9 10.95 ]
[66.35 14.35 ]
[45.4 62.65 ]
[27.9 19.3 ]
[76.3 39.95 ]
[38.75 43.4 ]
[47.0 74.35 ]
[87.0 94.7 ]
[86.15 71.1 ]
[85.3 74.45 ]
[14.9 3.95 ]
[26.65 33.8 ]
[26.9 38.7 ]
[37.3 65.85 ]
[85.15 80.9 ]
[96.75 10.7 ]
[36.95 70.6 ]
[57.1 17.45 ]
[80.35 92.15 ]
[57.45 21.55 ]
[95.9 18.7 ]
[95.1 21.95 ]
[57.95 25.6 ]
[80.7 70.9 ]
[8.5 3.25 ]
[84.05 98.5 ]
[97.8 25.0 ]
[37.55 79.7 ]
[26.9 60.05 ]
[96.9 32.95 ]
[14.9 40.95 ]
[47.3 14.85 ]
[46.25 20.25 ]
[37.75 94.75 ]
[28.25 68.4 ]
[66.05 67.9 ]
[22.5 78.5 ]
[89.15 19.0 ]
[39.75 96.0 ]
[56.75 48.8 ]
[5.3 34.15 ]
[45.9 30.95 ]
[25.3 86.85 ]
[35.9 11.95 ]
[90.7 31.25 ]
[63.05 84.5 ]
[79.25 15.35 ]
[25.3 96.95 ]
[56.2 94.15 ]
[15.2 75.5 ]
[17.5 80.0 ]
[40.9 28.4 ]
[48.65 55.25 ]
[56.1 82.05 ]
[48.05 59.95 ]
[67.15 6.7 ]
[56.15 86.6 ]
[86.9 61.95 ]
[67.7 19.55 ]
[91.75 78.25 ]
[45.15 78.0 ]
[78.5 45.0 ]
[17.55 6.85 ]
[69.05 32.25 ]
[16.25 12.75 ]
[25.95 42.7 ]
[67.05 37.9 ]
[77.05 64.9 ]
[45.35 93.7 ]
[37.25 75.6 ]
[48.45 2.2 ]
[47.45 7.85 ]
[29.4 56.8 ]
[10.15 13.4 ]
[37.4 85.85 ]
[56.9 32.95 ]
[96.4 30.25 ]
[68.25 59.95 ]
[17.35 43.95 ]
[50.6 13.1 ]
[14.8 47.05 ]
[68.6 65.4 ]
[76.95 87.9 ]
[14.0 22.0 ]
[49.9 20.9 ]
[61.35 67.15 ]
[57.5 69.7 ]
[73.35 81.35 ]
[77.25 89.6 ]
[75.05 81.1 ]
[7.65 38.0 ]
[26.85 91.2 ]
[43.2 25.8 ]
[7.95 55.1 ]
[68.0 2.5 ]
[50.35 79.8 ]
[48.85 85.1 ]
[97.6 72.0 ]
[88.5 57.25 ]
[63.6 4.85 ]
[46.6 89.4 ]
[50.1 64.05 ]
[69.2 23.65 ]
[26.9 24.95 ]
[90.45 69.1 ]
[19.35 7.15 ]
[5.9 83.95 ]
[58.9 10.2 ]
[71.1 35.55 ]
[86.05 77.8 ]
[78.9 61.1 ]
[17.25 17.5 ]
[59.75 13.15 ]
[5.9 94.95 ]
[90.4 14.6 ]
[90.25 20.3 ]
[79.6 82.45 ]
[81.0 67.15 ]
[42.95 1.6 ]
[79.9 78.6 ]
[58.05 29.0 ]
[11.1 6.6 ]
[67.9 51.05 ]
[13.25 8.25 ]
[81.3 76.25 ]
[89.9 77.0 ]
[92.45 4.8 ]
[18.05 37.75 ]
[27.35 64.6 ]
[65.1 57.55 ]
[61.25 41.15 ]
[18.6 72.2 ]
[97.3 40.5 ]
[88.1 24.35 ]
[54.5 68.5 ]
[6.95 31.6 ]
[49.0 31.95 ]
[25.9 83.45 ]
[38.05 8.3 ]
[17.25 63.05 ]
[24.05 91.05 ]
[37.95 15.65 ]
[78.95 9.7 ]
[17.4 93.0 ]
[59.8 61.45 ]
[97.35 55.85 ]
[60.75 58.75 ]
[43.5 90.65 ]
[49.35 50.9 ]
[17.95 84.15 ]
[88.3 50.9 ]
[38.3 38.05 ]
[43.75 81.3 ]
[40.65 79.25 ]
[73.0 8.9 ]
[34.35 81.45 ]
[96.05 68.05 ]
[81.25 44.05 ]
[40.7 72.05 ]
[6.7 88.25 ]
[18.45 19.95 ]
[82.0 58.15 ]
[17.6 24.6 ]
[37.85 65.1 ]
[28.7 52.15 ]
[59.7 31.55 ]
[57.7 35.35 ]
[33.5 56.4 ]
[47.2 10.1 ]
[37.95 56.8 ]
[83.95 62.7 ]
[91.3 61.25 ]
[15.05 28.5 ]
[21.4 44.25 ]
[66.8 41.3 ]
[17.9 50.35 ]
[70.9 57.2 ]
[94.5 59.95 ]
[62.1 51.45 ]
[64.55 54.4 ]
[37.25 1.75 ]
[68.95 49.35 ]
[49.25 69.1 ]
[50.1 27.1 ]
[86.5 24.6 ]
[75.4 52.7 ]
[46.35 37.15 ]
[83.75 12.35 ]
[45.15 44.7 ]
[15.8 96.85 ]
[82.2 53.3 ]
[22.05 80.6 ]
[45.85 24.65 ]
[41.7 55.7 ]
[91.05 48.4 ]
[39.0 49.5 ]
[14.75 85.85 ]
[30.2 34.45 ]
[95.8 51.6 ]
[87.55 48.5 ]
[78.65 34.6 ]
[34.3 50.8 ]
[28.2 45.9 ]
[7.2 93.3 ]
[89.4 45.45 ]
[24.35 47.95 ]
[6.1 77.4 ]
[23.25 41.8 ]
[73.0 30.6 ]
[81.1 27.25 ]
[59.9 1.55 ]
[26.4 28.9 ]
[59.85 5.35 ]
[82.95 31.85 ]
[87.9 40.8 ]
[17.35 53.65 ]
[24.8 5.2 ]
[2.25 89.2 ]
[21.2 33.2 ]
[57.55 42.55 ]
[60.95 24.35 ]
[97.15 43.8 ]
[12.6 71.2 ]
[16.65 58.25 ]
[18.6 30.05 ]
[12.95 53.75 ]
[51.1 19.85 ]
[40.65 20.7 ]
[11.8 0.4 ]
[59.9 8.25 ]
[12.4 60.8 ]
[1.45 85.0 ]
[40.55 10.3 ]
[4.75 27.1 ]
[95.1 31.15 ]
[2.8 97.2 ]
[6.6 71.25 ]
[10.6 57.45 ]
[30.95 18.3 ]
[89.5 6.55 ]
[80.2 2.45 ]
[95.0 1.5 ]
[81.75 1.3 ]
[8.9 49.95 ]
[57.85 2.3 ]
[34.5 3.85 ]
[26.2 22.45 ]
[8.8 63.1 ]
[32.3 5.85 ]
[31.4 12.75 ]
[29.5 8.55 ]
[4.8 67.95 ]
[36.35 19.85 ]
[29.6 2.95 ]
[16.65 33.25 ]
[27.15 1.45 ]
[23.15 3.3 ]
[18.85 5.9 ]
[3.3 6.8 ]
[9.95 49.05 ]
[5.6 31.15 ]
[1.85 72.5 ]
[10.65 41.75 ]
[6.05 64.55 ]
[5.3 79.6 ]
[6.65 46.9 ]
[7.5 43.1 ]
[1.05 36.15 ]
[2.7 45.1 ]
[3.85 64.85 ]
[18.95 58.95 ]
[36.1 63.95 ]
[49.9 58.85 ]
[64.4 75.65 ]
[73.2 89.95 ]
